epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1702.1,1.12929,0.46761,0.76437,0.99101,0.97835,0.99379,0.66,0.96748,0.41151,0.66363,0.0002972,0.0002972,0.0002972
88,1721.58,1.10468,0.46019,0.79725,0.9869,0.97823,0.99377,0.65053,0.97368,0.42223,0.66545,0.0002774,0.0002774,0.0002774
89,1740.88,1.07069,0.45732,0.78199,0.99448,0.97403,0.99404,0.64918,0.97402,0.38918,0.66785,0.0002576,0.0002576,0.0002576
90,1760.42,1.13999,0.47037,0.78708,0.99014,0.97403,0.9934,0.63812,1.0054,0.45916,0.66854,0.0002378,0.0002378,0.0002378
91,1855.33,1.0938,0.4829,0.77965,0.96806,0.98268,0.99175,0.66179,0.96417,0.5249,0.66532,0.000218,0.000218,0.000218
92,1874.61,1.10112,0.46714,0.76745,0.96558,0.97163,0.98996,0.63409,1.01496,0.44976,0.66968,0.0001982,0.0001982,0.0001982
93,1893.91,1.1144,0.45848,0.78891,0.97413,0.97786,0.99181,0.6449,1.00129,0.48382,0.66829,0.0001784,0.0001784,0.0001784
94,1913.41,1.11188,0.47267,0.79345,0.99116,0.97078,0.99133,0.66391,0.95603,0.55915,0.66273,0.0001586,0.0001586,0.0001586
95,1932.88,1.02844,0.44285,0.74556,0.98056,0.97403,0.98211,0.64294,0.99256,0.61727,0.66528,0.0001388,0.0001388,0.0001388
96,1952.29,1.01576,0.43108,0.77769,0.97885,0.96537,0.98204,0.63771,1.00997,0.5682,0.66691,0.000119,0.000119,0.000119
97,1971.63,1.0737,0.44054,0.80214,0.98252,0.97326,0.98265,0.6407,0.99213,0.56534,0.66617,9.92e-05,9.92e-05,9.92e-05
98,1990.91,1.0277,0.43075,0.75771,0.98261,0.97817,0.98947,0.65337,0.96223,0.53451,0.66546,7.94e-05,7.94e-05,7.94e-05
99,2010.36,1.02676,0.42604,0.80616,0.9826,0.97777,0.99145,0.65662,0.96429,0.49663,0.66517,5.96e-05,5.96e-05,5.96e-05
100,2029.78,1.00899,0.41175,0.78011,0.98095,0.97403,0.99151,0.64441,0.98716,0.5019,0.66692,3.98e-05,3.98e-05,3.98e-05
